,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Boende,CD,1535726671,-0.28,20.88,44,55,85.89,3.04
1,Amahai,ID,1535726671,-3.31,129.0,12,100,79.14,8.86
2,Kapaa,US,1535723760,22.08,-159.32,75,81,75.92,17.22
3,Ushuaia,AR,1535724000,-54.81,-68.31,0,100,37.4,4.05
4,Shajapur,IN,1535726675,23.42,76.29,92,97,72.75,9.64
5,Khatanga,RU,1535726676,71.98,102.47,0,79,34.32,5.61
6,Mushie,CD,1535726677,-3.02,16.92,8,48,89.94,2.48
7,Constitucion,MX,1535722980,23.99,-104.67,20,93,60.8,3.94
8,Saint-Philippe,CA,1535724900,45.36,-73.48,1,72,64.94,8.05
9,Iqaluit,CA,1535724000,63.75,-68.52,75,86,39.2,6.93
10,Hithadhoo,MV,1535726681,-0.6,73.08,0,100,84.63,5.17
11,Atuona,PF,1535726682,-9.8,-139.03,64,100,77.7,20.04
12,Saint George,GR,1535723400,39.45,22.34,20,33,89.6,8.05
13,Chicama,PE,1535726684,-7.84,-79.15,12,88,65.19,3.94
14,Mitsamiouli,KM,1535726684,-11.38,43.28,88,88,78.6,4.27
15,Pevek,RU,1535726685,69.7,170.27,12,85,45.75,11.43
16,Hobart,AU,1535725800,-42.88,147.33,20,76,48.2,8.05
17,Saskylakh,RU,1535726688,71.97,114.09,8,71,36.84,7.63
18,East London,ZA,1535724000,-33.02,27.91,75,88,68.0,20.8
19,Vesoul,FR,1535724000,47.62,6.16,0,67,62.6,6.93
20,Villa Rica,PE,1535726694,-10.74,-75.27,0,70,78.87,1.7
21,Makat,KZ,1535726695,47.65,53.35,56,17,81.3,3.49
22,Kintampo,GH,1535726697,8.05,-1.73,88,77,80.58,12.21
23,Albany,US,1535723640,42.65,-73.75,90,75,66.92,3.15
24,Bluff,AU,1535726699,-23.58,149.07,0,42,73.2,12.77
25,Castro,CL,1535726701,-42.48,-73.76,0,73,50.43,2.04
26,Busselton,AU,1535726702,-33.64,115.35,76,100,54.75,7.4
27,Souillac,FR,1535724000,45.6,-0.6,0,36,75.2,5.82
28,Mikhaylovka,RU,1535726705,52.96,103.29,0,89,50.7,3.38
29,Thompson,CA,1535724000,55.74,-97.86,75,87,55.4,13.87
30,Ribeira Grande,PT,1535724000,38.52,-28.7,75,94,75.2,20.8
31,Mataura,NZ,1535726709,-46.19,168.86,8,85,26.67,2.59
32,Saint-Francois,FR,1535724000,46.42,3.91,0,46,71.6,9.17
33,Buala,SB,1535726712,-8.15,159.59,88,92,80.85,8.41
34,Taguatinga,BR,1535724000,-15.83,-48.06,0,41,77.0,9.17
35,Alekseyevka,RU,1535724000,53.25,50.49,20,26,82.4,6.71
36,Vaini,IN,1535726718,15.34,74.49,80,98,68.88,4.72
37,Alice Springs,AU,1535725800,-23.7,133.88,0,31,50.0,4.7
38,Mackay,CA,1535724000,53.65,-115.58,40,93,41.0,8.05
39,Rikitea,PF,1535726724,-23.12,-134.97,8,100,70.77,26.87
40,Yellowknife,CA,1535725020,62.45,-114.38,90,93,50.0,9.17
41,Clyde River,CA,1535724000,70.47,-68.59,75,70,42.8,5.82
42,Bambous Virieux,MU,1535724000,-20.34,57.76,40,69,73.4,11.41
43,Cape Town,ZA,1535724000,-33.93,18.42,40,55,66.2,8.05
44,New Norfolk,AU,1535725800,-42.78,147.06,20,76,48.2,8.05
45,Tasiilaq,GL,1535723400,65.61,-37.64,75,75,44.6,6.93
46,Kintinku,TZ,1535724000,-5.89,35.22,20,34,80.6,9.17
47,Lubliniec,PL,1535724000,50.67,18.68,20,46,71.6,2.24
48,Puerto Ayora,EC,1535724000,-0.74,-90.35,40,73,71.6,12.75
49,Donghai,CN,1535726741,34.52,118.76,20,85,75.72,10.98
50,Ponta Delgada,PT,1535724000,37.73,-25.67,20,78,78.8,14.99
51,Birao,CF,1535726745,10.3,22.78,0,82,84.81,4.38
52,Leningradskiy,RU,1535726746,69.38,178.42,64,68,48.09,19.15
53,Tenkodogo,BF,1535726748,11.78,-0.37,64,77,82.92,10.65
54,Coruripe,BR,1535726750,-10.12,-36.18,92,100,74.19,17.02
55,Saint-Leu,RE,1535724000,-21.15,55.28,68,73,71.6,19.46
56,Mayo,CA,1535724000,63.59,-135.9,75,75,44.6,10.29
57,Butaritari,KI,1535726755,3.07,172.79,88,100,85.71,5.73
58,Carlos Chagas,BR,1535726757,-17.7,-40.76,0,66,79.14,6.62
59,Oranjemund,ZA,1535726758,-28.55,16.43,0,96,56.91,13.78
60,Sisimiut,GL,1535726760,66.94,-53.67,92,100,34.5,3.94
61,Bushehr,IR,1535724000,28.97,50.84,0,53,96.8,6.93
62,Rockland,US,1535724900,42.13,-70.92,1,60,71.96,12.75
63,Xixiang,CN,1535725800,22.58,113.87,40,83,82.4,13.87
64,Sitka,US,1535726768,37.17,-99.65,0,40,89.4,18.7
65,Pangody,RU,1535726769,65.85,74.49,68,65,47.1,6.62
66,Port Alfred,ZA,1535726770,-33.59,26.89,0,85,69.06,17.69
67,Shimoda,JP,1535726772,34.7,138.93,0,92,81.48,23.85
68,Teya,MX,1535723160,21.05,-89.07,75,78,78.8,4.7
69,Sistranda,NO,1535723400,63.73,8.83,20,51,62.6,4.7
70,Qaanaaq,GL,1535726779,77.48,-69.36,20,100,31.35,8.41
71,Airai,TL,1535726780,-8.93,125.41,8,88,64.47,1.92
72,Bredasdorp,ZA,1535724000,-34.53,20.04,48,52,69.8,18.34
73,Punta Arenas,CL,1535724000,-53.16,-70.91,0,86,35.6,5.82
74,Port Lincoln,AU,1535726785,-34.72,135.86,92,100,55.02,13.78
75,Tuktoyaktuk,CA,1535724000,69.44,-133.03,90,86,33.8,18.34
76,Padang,ID,1535726788,-0.92,100.36,64,100,81.39,4.27
77,Dunedin,NZ,1535726789,-45.87,170.5,56,100,34.5,4.38
78,Jodhpur,IN,1535726791,26.3,73.04,88,59,85.89,11.99
79,Marawi,PH,1535726793,8.0,124.29,8,96,64.38,1.92
80,Esperance,TT,1535724000,10.24,-61.45,75,84,86.0,12.75
81,Nome,US,1535724900,30.04,-94.42,1,71,84.02,4.7
82,Chuy,UY,1535726798,-33.69,-53.46,92,85,58.35,22.73
83,Hermanus,ZA,1535726799,-34.42,19.24,24,65,61.68,3.71
84,Tilichiki,RU,1535726801,60.47,166.1,0,86,37.29,2.59
85,Sao Joao da Barra,BR,1535724000,-21.64,-41.05,0,47,80.6,13.87
86,Avarua,CK,1535724000,-21.21,-159.78,75,73,71.6,11.41
87,Mar del Plata,AR,1535726805,-46.43,-67.52,0,48,50.34,5.39
88,Saldanha,PT,1535726807,41.42,-6.55,0,33,87.51,1.36
89,Riyadh,SA,1535724000,24.63,46.72,0,6,107.6,10.29
90,Gold Coast,AU,1535725800,-28.0,153.41,0,72,64.4,12.75
91,Petropavlovsk-Kamchatskiy,RU,1535724000,53.05,158.65,75,86,41.0,6.71
92,Kayes,ML,1535726813,14.44,-11.44,24,80,86.7,8.52
93,Bethel,US,1535725920,60.79,-161.76,90,96,46.04,8.05
94,Yumen,CN,1535726818,40.29,97.04,92,99,59.25,7.18
95,Saint-Georges,CA,1535726819,46.12,-70.67,0,70,61.41,3.38
96,Port Elizabeth,US,1535725800,39.31,-74.98,90,93,78.08,10.29
97,Istok,PL,1535726822,52.85,23.44,12,72,73.11,7.74
98,Peace River,CA,1535724240,56.23,-117.29,90,93,41.0,6.93
99,Kruisfontein,ZA,1535726825,-34.0,24.73,92,95,63.93,13.78
100,Klaksvik,FO,1535725200,62.23,-6.59,88,81,53.6,24.16
101,Pringsewu,ID,1535726830,-5.36,104.98,48,89,73.65,2.37
102,Cherskiy,RU,1535726833,68.75,161.3,0,63,47.37,6.73
103,Khani,GE,1535725800,41.96,42.96,75,69,82.4,16.11
104,Adrar,DZ,1535724000,27.87,-0.29,0,16,105.8,16.11
105,Paciran,ID,1535726837,-6.9,112.33,20,83,76.17,2.93
106,Mahajanga,MG,1535724000,-15.72,46.32,40,51,82.4,6.93
107,Namatanai,PG,1535726840,-3.66,152.44,88,100,77.07,6.96
108,Carlsbad,CZ,1535725080,50.23,12.87,75,59,68.0,4.7
109,Songjianghe,CN,1535726842,42.18,127.48,56,100,57.45,2.37
110,Georgetown,GY,1535724000,6.8,-58.16,75,94,78.8,13.87
111,Izumo,JP,1535724000,35.37,132.75,75,83,77.0,6.93
112,Havelock,US,1535723880,34.88,-76.9,20,79,86.0,8.05
113,Severo-Kurilsk,RU,1535726849,50.68,156.12,92,97,50.25,17.25
114,Chancay,PE,1535726852,-11.56,-77.27,0,65,68.7,5.39
115,Rocha,UY,1535726854,-34.48,-54.34,88,82,52.05,17.36
116,Mamit,IN,1535726856,23.92,92.49,92,96,76.53,2.59
117,Myitkyina,MM,1535726858,25.38,97.4,80,95,78.69,2.59
118,Phalombe,MW,1535726860,-15.81,35.65,0,31,77.25,3.6
119,Cidreira,BR,1535726861,-30.17,-50.22,92,91,66.54,8.52
120,Lagoa,PT,1535724000,37.14,-8.45,0,48,84.2,8.05
121,Maniitsoq,GL,1535726864,65.42,-52.9,88,100,38.82,13.44
122,Najran,SA,1535724000,17.54,44.22,40,14,96.8,9.17
123,Lasa,CY,1535725800,34.92,32.53,20,66,86.0,13.87
124,Garmsar,IR,1535726869,35.22,52.34,0,24,81.93,1.7
125,Broken Hill,AU,1535726870,-31.97,141.45,80,70,55.74,13.11
126,Kaeo,NZ,1535726872,-35.1,173.78,0,95,49.62,8.75
127,Hilo,US,1535726160,19.71,-155.08,88,90,69.08,12.55
128,Sao Filipe,CV,1535726875,14.9,-24.5,20,94,80.22,16.13
129,Quelimane,MZ,1535724000,-17.88,36.89,20,65,78.8,9.17
130,Upernavik,GL,1535726880,72.79,-56.15,88,100,37.02,5.06
131,Lhokseumawe,ID,1535726882,5.18,97.15,88,100,76.17,7.4
132,Bratsk,RU,1535724000,56.15,101.63,20,76,55.4,6.71
133,Contai,IN,1535726885,21.78,87.75,12,100,82.65,13.11
134,Stepnyak,KZ,1535726887,52.83,70.79,88,65,50.25,12.66
135,Dikson,RU,1535726888,73.51,80.55,12,95,48.0,23.51
136,Caxito,BR,1535724000,-22.65,-42.51,0,58,82.4,16.11
137,Barrow,AR,1535726891,-38.31,-60.23,68,60,48.09,11.88
138,Los Llanos de Aridane,ES,1535725800,28.66,-17.92,20,57,78.8,16.11
139,Codrington,AU,1535726899,-28.95,153.24,0,75,56.37,8.3
140,Lubana,CD,1535726901,0.23,29.1,32,74,72.39,0.92
141,Kuytun,RU,1535726901,54.34,101.51,20,90,53.85,2.93
142,Kollo,NE,1535724000,13.34,2.32,75,55,87.8,5.82
143,Ayan,TR,1535726906,40.67,33.6,8,26,80.67,3.15
144,Praia,BR,1535724000,-20.25,-43.81,20,50,77.0,9.17
145,Twentynine Palms,US,1535723760,34.14,-116.05,1,22,78.98,9.17
146,Honiara,SB,1535724000,-9.43,159.96,75,94,75.2,4.7
147,Nanortalik,GL,1535726913,60.14,-45.24,0,90,41.52,36.82
148,Guerrero Negro,MX,1535726916,27.97,-114.04,0,95,71.04,2.59
149,Letterkenny,IE,1535725200,54.95,-7.73,40,60,69.8,16.11
150,Kuybyshevo,UA,1535726920,44.63,33.86,0,90,78.51,5.5
151,Lorengau,PG,1535726922,-2.02,147.27,68,100,82.74,6.73
152,Dryden,CA,1535724000,49.79,-92.84,90,88,66.2,11.41
153,Bilma,NE,1535726927,18.69,12.92,56,24,99.39,5.95
154,Manjacaze,MZ,1535726939,-24.71,33.88,0,30,83.82,3.15
155,Cayenne,GF,1535725800,4.94,-52.33,75,59,89.6,5.82
156,Bathsheba,BB,1535724000,13.22,-59.52,20,74,84.2,20.8
157,Port Hawkesbury,CA,1535724000,45.62,-61.36,75,59,66.2,8.05
158,Khingansk,RU,1535726946,49.12,131.18,0,83,48.0,2.15
159,Puno,PE,1535724000,-15.84,-70.03,40,25,50.0,3.36
160,Nishihara,JP,1535724000,35.74,139.53,20,83,80.6,5.82
161,Fairbanks,US,1535725980,64.84,-147.72,90,93,42.98,3.36
162,Esso,RU,1535726952,55.93,158.7,0,79,28.02,1.92
163,Pisco,PE,1535726954,-13.71,-76.2,76,89,63.3,4.5
164,Belyy Yar,RU,1535724000,53.6,91.39,0,87,59.0,2.24
165,Victoria Point,AU,1535725800,-27.58,153.3,0,63,64.4,9.17
166,Sakaiminato,JP,1535724000,35.55,133.23,75,83,77.0,6.93
167,Tiksi,RU,1535726958,71.64,128.87,88,100,41.52,19.93
168,Rawson,AR,1535726959,-43.3,-65.11,0,35,52.77,8.19
169,Tokonou,GN,1535726960,9.65,-9.78,56,77,81.3,8.19
170,Consuegra,ES,1535726961,39.46,-3.61,12,26,92.55,3.71
171,Vardo,US,1535726820,39.62,-77.74,90,84,80.6,8.05
172,Lagos,NG,1535726965,6.46,3.39,68,92,80.13,14.23
173,Spassk,RU,1535726966,53.93,43.19,80,32,82.83,4.83
174,Timizart,DZ,1535726967,36.8,4.25,12,89,72.57,1.7
175,Myaundzha,RU,1535726969,63.05,147.18,0,85,38.1,2.48
176,Kimberley,ZA,1535724000,-28.74,24.76,0,18,82.4,17.22
177,Kulevcha,UA,1535726971,46.03,29.93,0,34,90.48,4.05
178,Blyznyuky,UA,1535726972,48.86,36.56,44,26,90.21,8.63
179,Longyearbyen,NO,1535725200,78.22,15.63,75,80,39.2,33.33
180,Pingliang,CN,1535726974,35.54,106.68,92,99,63.57,3.15
181,Norman Wells,CA,1535724000,65.28,-126.83,75,93,46.4,8.05
182,Ivanteyevka,RU,1535724000,55.97,37.92,0,41,75.2,6.71
183,Carnarvon,ZA,1535726979,-30.97,22.13,36,13,67.8,9.98
184,Qinhuangdao,CN,1535726980,39.94,119.59,8,93,61.23,1.59
185,Bilibino,RU,1535726981,68.06,166.44,0,77,39.09,4.16
186,Comodoro Rivadavia,AR,1535724000,-45.87,-67.48,0,31,50.0,1.12
187,Aklavik,CA,1535724420,68.22,-135.01,90,90,32.0,20.8
188,Ostersund,SE,1535725200,63.18,14.64,0,58,55.4,4.7
189,Maceio,BR,1535724000,-9.67,-35.74,40,69,77.0,11.41
190,Beringovskiy,RU,1535726989,63.05,179.32,0,99,48.27,4.16
191,Fort Nelson,CA,1535724000,58.81,-122.69,75,93,46.4,2.37
192,Chase,US,1535726100,43.89,-85.64,75,83,69.08,9.17
193,Sao Sepe,BR,1535726998,-30.16,-53.57,92,100,63.48,13.22
194,Richards Bay,ZA,1535727002,-28.77,32.06,0,47,78.15,10.98
195,Pinega,RU,1535727003,64.7,43.39,32,73,64.74,4.83
196,Faanui,PF,1535727005,-16.48,-151.75,24,100,78.24,26.42
197,Wakkanai,JP,1535727007,45.41,141.67,32,100,63.39,14.67
198,Katsuura,JP,1535727009,33.93,134.5,44,90,77.61,4.27
199,Hasaki,JP,1535724000,35.73,140.83,20,94,73.4,4.7
200,Huarmey,PE,1535727012,-10.07,-78.15,0,54,70.86,3.83
201,Mizdah,LY,1535727013,31.45,12.98,0,30,90.93,6.73
202,Puerto Escondido,MX,1535722800,15.86,-97.07,40,69,75.2,5.82
203,Forrest City,US,1535723580,35.01,-90.79,1,90,77.0,4.7
204,General Higinio Morinigo,PY,1535727019,-25.95,-55.92,68,80,75.9,3.04
205,Batagay-Alyta,RU,1535727020,67.8,130.41,48,67,49.26,4.94
206,Jumla,NP,1535727021,29.28,82.18,88,93,39.63,2.71
207,Roald,NO,1535725200,62.58,6.12,0,67,64.4,4.7
208,Fertoszentmiklos,HU,1535724900,47.59,16.88,0,44,78.8,2.24
209,Lompoc,US,1535726100,34.64,-120.46,75,93,59.0,5.82
210,Provideniya,RU,1535727027,64.42,-173.23,0,100,47.1,7.18
211,Pemba,MZ,1535727029,-12.97,40.52,88,96,79.32,12.44
212,Laguna,MX,1535724900,27.52,-110.01,20,79,84.2,6.93
213,Buinsk,RU,1535727033,54.97,48.29,0,32,78.42,7.52
214,Victoria,BN,1535725800,5.28,115.24,75,94,86.0,4.7
215,Qandala,SO,1535727034,11.47,49.87,56,52,87.96,2.93
216,Tevaitoa,PF,1535727035,-16.78,-151.5,44,100,77.43,24.07
217,Kavaratti,IN,1535727036,10.57,72.64,88,99,81.48,15.35
218,Jalu,LY,1535727038,29.03,21.55,8,28,96.69,9.42
219,Cache Creek,CA,1535724000,50.81,-121.33,20,87,51.8,4.7
220,Tarko-Sale,RU,1535727044,64.92,77.78,0,58,43.86,12.21
221,Asamankese,GH,1535724000,5.86,-0.66,75,83,78.8,17.22
222,Coahuayana,MX,1535727047,18.62,-100.35,92,98,64.11,2.93
223,Guymon,US,1535726100,36.68,-101.48,1,43,84.2,24.16
224,Qeshm,IR,1535724000,26.96,56.27,24,75,93.2,11.41
225,Coihaique,CL,1535724000,-45.58,-72.07,0,56,37.4,3.36
226,Cardston,CA,1535724000,49.2,-113.32,1,93,42.8,4.7
227,Zhigansk,RU,1535727053,66.77,123.37,92,97,49.98,9.08
228,Mataram,ID,1535727055,-5.32,105.06,48,89,73.65,2.37
229,Tura,IN,1535727056,25.52,90.21,0,92,79.95,2.26
230,Abha,SA,1535724000,18.22,42.5,40,16,84.2,16.11
231,Qitaihe,CN,1535727058,45.77,131.01,64,92,53.49,1.92
232,The Valley,AI,1535724000,18.22,-63.06,20,70,87.8,20.8
233,Tabuk,PH,1535727063,17.41,121.44,36,95,68.25,1.14
234,Jamestown,AU,1535727064,-33.21,138.6,88,99,49.35,14.0
235,Nyimba,ZM,1535727065,-14.56,30.81,12,38,80.13,5.17
236,Beira,ES,1535725800,43.2,-8.36,0,65,82.4,10.29
237,Cobija,BR,1535724000,-11.02,-68.77,8,74,84.2,5.82
238,Birjand,IR,1535724000,32.86,59.22,0,6,80.6,16.11
239,Dubbo,AU,1535725800,-32.25,148.6,75,87,51.8,9.17
240,Torbay,CA,1535724120,47.66,-52.73,90,93,59.0,23.04
241,Hamilton,CA,1535724000,43.26,-79.87,40,77,68.0,3.36
242,Castro Daire,PT,1535724000,40.9,-7.93,20,50,77.0,12.75
243,Ouegoa,NC,1535727084,-20.34,164.44,0,92,62.31,6.62
244,Geraldton,CA,1535725500,49.72,-86.95,90,93,57.2,8.05
245,Caravelas,BR,1535727087,-17.73,-39.27,0,100,76.17,8.75
246,Zhangjiakou,CN,1535727089,40.77,114.88,8,74,62.67,7.4
247,Luderitz,NA,1535727090,-26.65,15.16,0,91,60.87,7.96
248,Okhotsk,RU,1535727091,59.36,143.24,92,100,53.49,3.71
249,Kitaibaraki,JP,1535727092,36.84,140.74,100,100,74.82,15.46
250,Toora-Khem,RU,1535727093,52.47,96.11,44,92,47.19,2.15
251,Namibe,AO,1535727095,-15.19,12.15,44,100,64.47,8.63
252,Pangnirtung,CA,1535724000,66.15,-65.72,90,100,39.2,5.82
253,Warman,CA,1535724000,52.32,-106.58,40,93,51.8,9.17
254,Muros,ES,1535725800,42.77,-9.06,0,54,82.4,12.75
255,Plastun,RU,1535727099,44.76,136.29,0,91,53.58,2.93
256,Ewo,CG,1535727100,-0.88,14.81,56,74,81.03,3.6
257,Mahebourg,MU,1535724000,-20.41,57.7,40,69,73.4,11.41
258,Port Blair,IN,1535727103,11.67,92.75,76,97,82.02,20.83
259,Fortuna,ES,1535725800,38.18,-1.13,20,69,89.6,11.41
260,Pazmand,HU,1535725800,47.29,18.65,0,45,82.4,6.93
261,Nikolskoye,RU,1535724000,59.7,30.79,20,64,68.0,4.47
262,Pokhara,NP,1535727108,28.21,83.99,8,70,63.12,3.94
263,Suntar,RU,1535727110,62.16,117.65,0,87,56.37,5.06
264,Horodnytsya,UA,1535727111,50.81,27.32,32,38,79.86,3.71
265,Yamethin,MM,1535727113,20.43,96.14,92,98,73.02,10.65
266,Stolin,BY,1535727115,51.89,26.85,20,63,77.61,4.5
267,Saint-Augustin,FR,1535725800,44.83,-0.61,0,47,75.2,11.41
268,Agadir,MA,1535724000,30.42,-9.58,0,57,78.8,11.41
269,Henties Bay,NA,1535727120,-22.12,14.28,0,78,63.75,8.97
270,Naze,NG,1535727122,5.43,7.07,88,89,78.51,9.75
271,Yarada,IN,1535727123,17.65,83.27,92,99,84.45,8.86
272,Shieli,KZ,1535727125,44.18,66.74,0,36,69.6,8.19
